Title 品名,URL 網頁,objectID,Artist 作者,Artist Inscriptions 作者款識,Colophons 題跋,Seals 印章,Museum 館藏,Museum Object Identifier 收藏號碼,Publications / Citations 出版,Authenticity Concerns 真偽問題
富春山居圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1193&Dept=P,1193,Huang Gongwang 黃公望,子明隱君將歸錢唐。需畫山居景。圖此贈別。大癡道人公望。至元戊寅（西元一三三八年）秋。	,"Liu? 劉&#29647
成化丙戌九月完菴劉珏鑑藏。

Qianlong emperor 清高宗 (乾隆)
畫家貴正不貴。奇大癡此巻三昧知。天地造物匪物造。元氣裹合神淋漓。六法上乗我所喜。言之不足長言之。石渠寳笈惜未載。行幐書笥常相随。田盤小憩天成閣。展覺峰巒近列眉。香山岫雲足佳趣。以境質畫非然疑。乃知逢源任左右。是謂罔象合天倪。如入畫禪晤思白。摩詰雪江有所思。我欲壽之以佳作。德潛手筆猶能為。富春大嶺汝有記。弔古寤歎興嗟咨。試評此畫得所否。更須紙尾揮顔碑。每閱此卷愛玩不置。因命學士沈德潛題其後。而自紀以詩。乾隆丙寅（西元一七四六年）清和月。御筆。
乙丑夏沈德潛進其所為詩古文稿。幾暇披閱。則跋黃子久富春山居圖在焉。所記題跋收藏始末甚詳。是年冬偶得黃子久山居圖。筆墨蒼古。的係真蹟。而德潛文中所載沈文王董鄒氏五跋。有董鄒而缺其三。且多孔諤一跋。以為山居與富春自兩圖也。然愛其溪壑天成。動我吟興。乃有長言。亦命德潛和之。且詢其較富春為何如。德潛之跋。以富春山居。歸安氏為未得所。安氏不知也。越明年丙寅冬。安氏家中落。將出所藏古人舊蹟求售於人。持富春山居卷。并羲之袁生帖。蘇軾二賦。韓幹畫馬。米友仁瀟湘等圖。共若干種。以示傅恆。傅恆曰。是物也。饑不可食。寒不可衣。將安用之。居少間。恆舉以告朕。朕謂或者汝弗識耳。試將以來。剪燭粗觀。則居然黃子久富春山居圖也。五跋與德潛吻。偶憶董跋與予舊題所謂山居圖者同。則命內侍出舊圖視之果同。次日命梁詩正等辨其真偽。乃咸以舊為真而新為偽。反覆詳覽。始知燈下駭以為更得富春者乃誤也。匪惟予誤。沈德潛之嗟咨歎賞。勒文以記者亦誤也。奚啻德潛。高士奇。王鴻緒輩之侈。賞鑑之精。賈直之重。以為豪舉者均誤也。富春山居。本屬一圖。向之題山居者遺富春二字。故雖真而人疑其非是耳。雖然摹董而即董。肖黃而即黃。蓋非近日俗工所能為。且其別種。亦有實出舊人手筆。而古香清韻。堪以繼武石渠寶笈者。概以二千金留之。予因之有深警焉。歎盛衰而歸夢幻。德潛蓋詳言之。玩物喪志。又不若不識者之為得矣。而況目迷五色。易眩鮮明於流覽。其尚可也。於出治用人其可乎哉。因一事乃獲三益。是不可以無記。爰書之於舊圖。而正其名曰富春山居云。丙寅（西元一七四六年）長至後一日。重華宮御識。並書。
此係丙寅（西元一七四六年）春月題語。長至後一日再識。
元史不載子明其人。惟明金賚畫史會要云。任仁發字子明。松江人。官至都水庸田副使。計其時代。與公望相同。且善書畫。氣類孚合。殆即其人耶。顧仁發官水監。而圖云隱君。或在其未仕前。抑或宦成歸隱。均未可知。至松人而曰將歸錢唐。或亦猶公望虞山人。而小隱富春也。丙寅（西元一七四六年）小寒重華宮御識。
大癡道人黃子久。詩中元白書顔栁。富春大嶺稱絶作。膾炙都人士之口。金題玉躞標山居。然疑即是富春否。展卷一室饒古香。華亭妙筆存圖右。品評精確書法高。以書例畫珍瓊玖。江山萬里無足奇。萬里以外箇中有。平沙遠渚隔重林。水郭烟村帶層阜。耕者讀者雜漁樵。天高地下適飛走。渾噩全無意匠營。都來量物随所受。宜令香光拜下風。倪迂范緩誰妍醜。不必什襲誇鑒藏。丁甲呵持自能壽。乾隆丙寅（西元一七四六年）榖雨日御題。
識得山居子久傳。雪溪摩詰鈞舟扁。畫禪室裡羣仙侶。近日紛來參畫禪。予既辨明此卷。為子久富春山居真蹟。近又得此摩詰雪溪圖。二物皆董其昌畫禪室中所藏。因成斷句。丁卯（西元一七四七年）仲春月御筆。
間氣所鍾。必也悠久。如彼松柏。夫豈蒲栁。名詎有定。繋乎人口。定者存焉。謀邑則否。繄我好古。圖左史右。富春山居。石渠瑛玖。問自何來。畫禪所有。為堂為霍。為嶠為阜。或宛而隆。或放而走。有樹風生。有澤虚受。三曡識言。愛忘其醜。爾因我傳我以爾壽。丁卯（西元一七四七年）仲春盤山行宮展玩。因用前韻再題。名山佳畫。相對怡神。致足樂也。乾隆御筆。
富春疑案叅來久。今喜辨眀楊即栁。高王目迷何足云。壓倒徳潜談天口。我非博古侈精鑒。是是還應别否否。沈文王氏乃捉刀。華亭晉陵仍左右。始識流傳祇一圖。珷玞安可同瑶玖。笑予赤水索元珠。不識元珠吾固有。如浮海者必由河。如登山者必歷阜。縱云露柱即燈籠。坐令優孟望而走。每讀班賦發深思。貴耳末學多膚受。吳下詩人即趨闕。試與觀之應覺醜。還續長言當自訟。庶使此圖更因壽。乾隆丁卯（西元一七四七年）春正御筆。
清和既杪。梅雨初霽。一再展玩是卷。覺林巒濕潤。氣象滃鬱圖間。令人想見朝嵐夕靄。變幻出沒之態。豈筆墨真通造化耶。古人論畫要。首曰氣曰韻。是卷惟氣韻生動。故隨時領略。難竟其趣也。乾隆戊辰（西元一七四八年）夏五御識。
是圖致可愛玩。凡晦明風雨。展卷輒有會心。茲值晴輝積素。偶一臥遊。當日嚴陵高致。彷彿遇之。因誦柳河東扁舟簑笠翁。獨釣寒江雪之句。彌覺神往。乾隆己巳（西元一七四九年）長至後三日御識。
辛未（西元一七五一年）南巡。登靈巖山。南眺具區。一望平遠無際。髣髴此段景色。沈德潛書室在山麓。嘗見其山居雜詠十律。因次韻賜之。予非山居者。而頗得山居之趣。斯圖其先導歟。御題。
辛未（西元一七五一年）上巳。駐蹕錢塘。坐西湖行宮。山翠波光浮動。几案晴雨變幻。出奇無窮。惜不得子久為之寫照。因展卷題之。御筆。
暮春之初。南巡至會稽。昔人所云。山陰道上應接不暇者。隔江睇富春諸山。矗矗如螺髻。浮出雲外。睪然者久之。重披是圖。益為神往。乾隆御識。辛未（西元一七五一年）。
此圖數隨行笱。甲戌（西元一七五四年）東巡至吉林。駐蹕松阿里江上。沙渚烟邨。恍然圖中勝處。因於行在展卷。書之時八月九日也。御識。
南巡至錢塘。訪雲栖禪舍。訟江岸陸行。富春山色。了了在目。又遇山人於筆墨町畦外矣。丁丑（西元一七五七年）三月御識。
丁丑（西元一七五七年）春南巡至棲霞。登最高峰。大江前橫。一碧千里。扁舟出入煙渚間。江外遠山案衍。恍然昔日山隂道中，遙望富春山色也。放歌之餘。因展是圖識之。御筆。
駐蹕盤山。夜雨初霽。坐成天樓。俯視冀野寬乎。山雲動盪。想見春渚潮來。波濤萬頃。倘即香光所云。一峰老人以煙雲供養者耶。庚辰（西元一七六０年）仲春御識。
尖塔攬全形。陳園蹕暫停。佳時逢上巳。隨地可稽亭。綠水澄而照。春梅靜以馨。託波杯不泛。惡旨有芳型。壬午（西元一七六二年）春巡。親蒞海塘籌關。上巳登尖塔二山。全覽滄溟形勢。時銀濤。一線正湧海亹。弭節所經。想見潮。平春渚。展圖恍然有會。即以是日所作書誌於卷中。
富春景四時變幻。而霜林紅紫尤為溪山勝觀。今來田盤。適當冬孟餘暄。清霜著樹。丹黃萬壑。不減江城錦繡林。而巖巒雄秀。村野豐熙。若令一峰見之。其渾厚華滋。或當於此圖外，別添一神契耳。行篋展卷。因識圖隙。甲申（西元一七六四年）小春御筆。
予南巡四至浙江。富春皆未到也。或眺於山陰道中。或見於雲棲江岸。或寄想於尖塔海亹。今來坐觀潮樓。目送銀濤。遠平春渚。一峰長卷。彷彿遇之。則入山而身立畫中。何如望山而畫在目前耶。茲行既辨浙江濤。廣陵濤疆域之舛。與前此考訂山居真贋事頗相類。予之不欲蓄。疑固不以小大歧視耳。乙酉（西元一七六五年）春御識。
自富陽至桐廬。勝甲浙右。子陵高風與山水同遠。丙戍（西元一七六六年）秋駐靜寄山莊。偶憶昌黎盤谷序所云盤中耕釣之樂。較嚴瀨想當伯仲。御識。
丁亥（西元一七六七年）春巡津門。舟行淀泊間。煙水渺瀰。不異春江風景。船窗攜卷。忽若橫嶺側峰點綴渚岸。及登觀海臺。雲濤浩瀚。氣象萬千。則更曠然意遠矣。御識。
熱河山川渾厚。草木華滋。與昔人所評一峰畫景象適合。嘗於苑中作亭曰。對畫非虛擬也。秋巡駐山莊。展卷悠然。獨惜子久未見此境耳。戊子（西元一七六八年）孟秋御筆。
嶢峰嶽嶽氣濛濛。繪以松蒼與杏紅。粉本問誰能肖得。春山曾見有王蒙。己丑（西元一七六九年）暮春至盤山。時雨既滋。因於讀畫樓題句。子久此卷氣韻。雅相印合。並書卷中。御筆。
春巡登泰山。曾空盪胸。眾山俯覽。蒼深渾厚之氣。不啻披子久巨幀。迴蹕舟行汶衛間。船窗晴眺。展對此卷。濃青未了。髣髴遇之。書以紀勝。辛卯（西元一七七一年）春御識。
壬辰（西元一七七二年）仲春。盤山兩次對雪奇景。實為創見。既形諸吟詠。展大癡此卷。煙巒萬變。若論群峰玉戲。斯究過之。御識。
漸遠村莊水面寬。水營因以搆河干。嫌他行館脩而飾。愛此居艫福且安。帆落春風靜玉浦。窗憑望月漾金瀾。扈舟高下檣燈列。竟作南巡一例觀。水營一律淀池風景。宛如江鄉。惟欠佳山耳 船窗展卷如對富春。癸巳（西元一七七三年）春月御筆。
田盤富於杏。每花時掩映松間。青紅相錯。天然好景也。甲午（西元一七七四年）仲春下游至山莊。杏花正開。展卷評量。足傲子久矣。御識。
今春至田盤山中。景物之妙。似有勝於去年者。蓋佳山水每遊得。概日異而歲不同。譬之展閱名畫。輒有會心。亦與溪山相引無盡。因於子久卷書之。以示兩兩印合耳。乙未（西元一七七五年）暮春御識。
今春東巡登岱。覽天門日觀之勝。不異往年所見。適封中雲起。冀合膚寸以潤青郊。迨返棹河瀛舡窗。對雨展卷快。披烟靄與觸石氤氳。彙概恍有會心。因識大略於此。丙申（西元一七七六年）初夏御筆。
不見富春山色已十五載。今春過雲栖山徑。江光雲影。遠映層嵐。宛如子久筆端神韻。茲偶一展閱。益洽我心矣。庚子（西元一七八０年）冬日御識。
謁真定大佛寺。並至五臺。展卷證浮嵐暖翠。一而二。二而一也。暮春之初識於白雲之行舘。辛丑（西元一七八一年）。
茲來田盤。創見燕柏。欣然寫之。脫稿後展閱此卷。覺墨章水暈。有所相資。壬寅（西元一七八二年）暮春之初。御識。
癸卯（西元一七八三年）冬初。自盛京謁陵。迴蹕至夷齊。廟俯仰山川。清風斯在。悠然有會。於子陵桐江之間。因書此卷。以誌一時。御識。
田盤山色。與此卷俱。愈看而不厭者。蓋得熟中生趣耳。乙巳（西元一七八五年）春御識。
六度南巡。所歷江山風物。氣象萬千。時展此卷。印證無不契合。自非造化為師者。烏能若此。甲辰（西元一七八四年）暮春御識。
每至清涼山。必有天花送喜。信是靈境。適攜此神筆證之。丙午（西元一七八六年）暮春。臺麓雪妍堂御識。
山莊朝靄夕嵐。以此圖證之。益信神妙。丁未（西元一七八七年）長夏御識。
戊申（西元一七八八年）春巡駐津門。得臺灣生獲莊大田捷報。展卷想見凱旋將士。過桐江富春喜色。御識。
己酉（西元一七八九年）春。至田盤。寒勒山花未放。越日晴暄。遂睹芳菲。適攜卷展對。活畫相印更不凡。御識。
庚戌（西元一七九０年）春以八旬正壽。展扣岱宗。六登壹天之閣。適行笈中攜是卷。即境印心。覺盪胸抉眥之奇。相與無盡也。御識。
辛亥（西元一七九一年）春攜卷至田盤與名境相印。又一勝事。御筆。
壬子三月（西元一七九二年）。西巡至五臺日。大雪對景。披圖益知其妙。
癸丑（西元一七九三年）春迎田盤松杏精神倍。王不啻畫中行也。御題。
淀池舟行。見梁見梁笱。印之圖中。益知魚家生計。甲寅（西元一七九四年）春御題。
乙卯（西元一七四五年）春閏。以御宇六旬。展叩橋山。回經潭柘喜雨。與畫景適印。明年歸政後。行笈攜賞。可不復拈毫。亦翰墨緣之得全耳。
宿雨初晴。瑣窗塵靜。展閱此卷。忻然有會。登萬仞山。讀萬 卷書。行萬里路者。恐不如我坐遊所得多耳。清和哉生明再識。并書。
唐王維雪溪。元黃公望富春山居二圖。為千古名筆。皆董香光畫禪室中藏物。題識墨蹟猶存。今先後收入內府。爰於咸福宮西室什襲以藏。即仿香光之意。顏曰畫禪。並令儒臣為圖以傳之。參學者由此證入。是無上正法眼藏。後得佳蹟。的係畫禪當日鑑賞之物。有香光題識可據者。將皆歸之。乾隆御識。
由吉林進英峩門抵盛京。山川渾厚。雲樹華滋。惜不令子久妙筆一為寫照。因思造物孕奇毓秀。或鍾之於神聖。或發之於文章。或寄之於翰墨。雖大小殊絕。皆足光宇宙。垂無窮。苟非是其湮沒者可勝道耶。九月望日舊宮繼思齋。御識。
十月二日入關。登澄海樓。海天空闊。風條不驚。而煙濤浩然。何啻吞雲夢八九。適攜此卷。流覽至再。夫子久專寫富春。而予舊題亦以田盤香山為言。乃知勝境無窮。隨其所遇。詎問大小廣狹哉。並書卷中以當紀程。御識。
長至後八日快雪時晴。坐養心殿明窗下。盆梅初放。一室春和。展此卷欣然有會。輒命筆書之。
世傳富春山圖為黃公望生平傑作。此卷寫山居風景。巖壑平遠。曠若千里。未識與富春圖孰為先後。董香光稱其規橅董巨。天真爛熳。當亦為子久最得意筆耶。清河書畫舫謂大癡畫格有二。一種作淺絳色。一種作水墨者。筆意尤簡遠。今觀是幅。長幾三丈。包孕山川之勝。發抒襟抱之奇。在水墨法中尤出一格。款為子明隱君作。子明未詳姓氏。當再考之。御識。
此卷之妙。日往來胸中。庚午時巡。過嵩陽書院。見其山川渾厚。風景適與圖合。乃知子久襟次。包羅萬有。區區以富春域之者。反屬拘墟。然非親歷其境。亦不足以知之。御識。
以後展玩。亦不復題識矣。
按鄒之麟此跋。直以為富春。而題籤曰山居。沈德潛所見富春山居。云又非此。姑俟他日之辨。丙寅（西元一七四六年）皋月御識。
 
Kong E 孔諤
癡翁灑翰成山水。逸趣天然妙無比。毫釐分寸界吳眉。咫尺如同千萬里。煙霞濃淡有無間。林麓參差如可攀。菰蒲帶雨通花渚。松蘿聳翠侵雲端。蒼岩秀嶂宛如屏。髻挽螺旋不可名。南岷西華與東岱。嵯巍峭立相崢嶸。滾滾江流與湘漢。風停波靜澄如練。天光一色浩無涯。魯衛青齊俱可辨。高人□趣江天曉。萬壑陰森淨如掃。平林遠樹間桑麻。楚甸巫峰青未了。侍御昔年持此看。觀風壯志非塵凡。而今驄轡巡行發。須使生民同此歡。宣聖五十七代孫河南提刑按察司僉事孔諤書。

Shen Deqian 沈德潛
奉敕題黄公望山居圖敬和。御製元韻。畫師如將將兵兼正奇。大癡富春山居之圖世所知。蘭亭右軍神到候。生氣坌湧何淋漓。此卷興會不相亞。筆所欲赴神先之。岡連嶺複勢合沓。偶然忽斷便有雲相隨。想其解衣磅礴處。著墨飛動奕奕軒須眉。上追右丞雪江幅。同音笙磬夫何疑。聖人得此屢評品。探抉亭毒窮端倪。江山萬里入毫楮。大造在手非闗思。敕命小臣題紙尾。迫窘詰屈安能為。昔年曾跋富春卷。今閲此本俯仰興齎。咨天章在上敬賡和。秋虵春蚓敢望岣嶁山尖碑。臣沈徳潛。
丁卯（西元一七四七年）夏日恭和臣。御製元韻云。山居有圖傳子久。敕命賦詩日在栁。（小字。丙寅夏）富春一圖流世間。（小字。自沈周至髙士奇。王鴻緒諸家）聲價千金滿人口。歸之内府帝鑒觀。兩圖誰是復誰否。衆眼矇瞇云亦云。真者偏左贋偏右。山居即是富春圖。聖論定餘重瓊玖。淋漓墨氣骨相蒼。空諸所有包所有。譬登日觀俯羣山。梁父云亭惣堆阜。舊藏香光畫禪室。今入天家不脛走。畫雖一技宗派殊。南北分宗遞傳受。即小喻大理固然。程材尤貴分妍醜。藝苑遭逢會有時。好配右丞千載壽。臣沈徳潛。

Qian Chenqun 錢陳群
流傳神物事最奇。造化所到聖所知。大癡真跡不多得。況此筆墨尤淋漓。臣年耄矣。趨秘殿。 勅許題句睹之。嵐光匼匝雲影驟。元氣翁鬱神明隨。正名考偽富天滲。藝苑傳信森修眉。諸家辨證互真贗。是一是二夫何終。記裡宸遊後車載。興到須趣呈坤倪。雪溪唐跡曾寓目。雲烟夢想猶追思。（小字。王維雪溪圖向棄項氏臣與同里 時曾得一見）畫禪先後歸秘笈。非神呵護誰之為。神所護者壽永永。歡喜讚歎奚嗟諮。珠璣敬展拜手讀萬遍。如歐陽三日坐臥索靖碑。臣錢陳群恭和。時年八十有六。

Dong Qichang 董其昌
大癡畫卷。予所見若檇李項氏家藏砂磧圖。長不及三尺。婁江王氏江山萬里圖可盈丈。筆意頹然。不似真跡。唯此卷規摹董巨。天真爛熳。復極精能。展之得三丈許。應接不暇。是子久生平最得意筆。予獲購此圖。藏之畫禪室中。與摩詰雪江共相映發。吾師乎。吾師乎。一丘五岳。都具是矣。丙申十月七日書于龍華浦。董其昌。

Zou Zhilin 鄒之麟
黃子久畫之聖者也。書中之右軍。至若富春山圖。筆端變化鼓舞。又右軍之蘭亭也。聖而神矣。昧庵老人之麟題。","黃氏子久
完菴
廷美
清玩
比德
會心不遠
德充符
天龍三昧
染翰
涵虛朗鑒
朗潤
乾隆宸翰
幾暇臨池
幾暇怡情
得佳趣
妙意寫清快
如如
中心止水靜
取益在廣求
含輝
古香
太璞
澂觀
古稀天子
猶日孜孜
八徵耄念
自強不息
乾隆御賞
日監在茲
典學勤政
叢雲
掬水月在手
太上皇帝
十全老人
 一朵紅雲
沈德潛印
臣德潛
臣錢陳群
宮傅尚書
昌
鄒之麐印
前身應畫師
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠繼鑑
五福五代堂古稀天子寶
八徵耄念之寶
太上皇帝之寶
御賞（重六）
畫禪室
研精固得趣
契理亦忘言
內府書畫之寶（重三）
研露
古希天子
幾暇鑒賞之璽（重三）
壽
乾隆御玩
內府圖書
乾隆御覽之寶
□人天□
廷美
瞿式耜印
瞿起田耕石齋真賞
瞿稼軒收藏印（重一。其一半印）
唐氏孔明（重一）
半園外史（重一）","National Palace Museum, Taibei 台北故宮",故畫00101700000,"石渠寶笈初編（畫禪室），下冊，頁1241
故宮書書畫錄（卷四），第二冊，頁138
故宮書書畫圖錄，第十七冊，頁281-288
1.蔣復璁，〈黃公望富春山居圖(子明)卷〉，收入國立故宮博物院編，《元四大家》（臺北：國立故宮博物院，1975年初版，1976年二版，1984年三版），頁39-40。 2.馮明珠，〈黃公望富春山居圖（子明卷）〉，收入馮明珠主編，《乾隆皇帝的文化事業》（臺北：國立故宮博物院，2002年初版一刷），頁80-81。 3.本刊資料室，〈乾隆與真假富春山居圖〉，《故宮文物月刊》，第10期（1984年1月），頁115 。 4.容天圻，〈富春山居〉，《故宮文物月刊》，第16期（1984年7月），頁102-107。 5.陳萬鼐，〈黃公望與富春山居卷的故事〉，《故宮文物月刊》，第38期（1986年5月），頁31-38。 6.魏美月譯，〈富有傳統色彩的山水畫 — 富春山居圖卷〉，《故宮文物月刊》，第38期（1986年5月），頁39-41。 7.王伯敏，〈富春江上畫中行 — 富春山居圖側記〉，《故宮文物月刊》，第109期（1992年4月），頁114-129。 8.馮明珠，〈乾隆皇帝和他的文化顧問們〉，《故宮文物月刊》，第235期（2002年10月），頁60-61。 9.張光賓，〈黃公望富春山居圖外的問題〉，《故宮季刊》，第九卷第四期（1975年夏），頁57-67。 10.張光賓，〈黃公望是否住過富陽問題〉，《故宮季刊》，第十二卷第四期（1978年夏），頁49-58。 11.李霖燦，〈故宮博物院的名畫寶藏(下)〉，《故宮季刊》，第十四卷第一期（1979年秋），頁77-92。 12.唐心怡，〈由王翬的《富春山居圖》摹本來看《子明》和《無用師》兩長卷的問題〉，《議藝份子》，第8期(2006年5月)，頁79-97。 13.蘇玲怡，〈我們S4的南方憂鬱　不要政治，只愛江湖—元末文人畫四大家〉，《典藏古美術》，第216期(2010年9月)，頁150-153。 14.邱士華，〈傳元黃公望富春山居圖(子明卷)〉，收入何傳馨主編，《山水合璧：黃公望與富春山居圖特展》（臺北：國立故宮博物院，2011年五月初版一刷），頁318-324。 15.樓秋華，〈〈富春山居圖〉名考〉，《故宮文物月刊》，第339期（2011年6月），頁26-39。 16.邱士華，〈截長補短—略論沈周、張宏與「子明卷」〈富春山居〉傳本〉，《故宮文物月刊》，第340期（2011年7月），頁22-31。 17.樓秋華，〈乾隆皇帝與〈富春山居圖〉〉，《故宮文物月刊》，第340期（2011年7月），頁32-39。
邱士華，〈元黃公望富春山居圖　卷〉，收入《行篋隨行-乾隆南巡行李箱中的書畫》（臺北：國立故宮博物院，2017.03），頁116-129。",
書女孝經(補圖上卷),"https://digitalarchive.npm.gov.tw/Painting/Content?pid=14902&Dept=P
",14902,"Zhaozong emperor 宋高宗 (趙構)
Ma Hezhi 馬和之",(none),(none),"乾隆御覽之寶
御書房鑑藏寶
石渠寶笈
嘉慶御覽之寶
宣統御覽之寶
三希堂精鑑璽
宜子孫
乾隆御賞之寶
古希天子
五福五代堂古稀天子寶
八徵耄念之寶
太上皇帝之寶
稽古右文之寶
典學勤政
所其無逸
而貺十全之寶
信天主人
學詩堂
明安國玩（重七）
（一印漫漶不識）
乾隆鑑賞","National Palace Museum, Taibei 台北故宮",故畫00110000000,"石渠寶笈初編（御書房），下冊，頁1077
故宮書畫錄（卷四），第二冊，頁288-289
故宮書畫圖錄，第二十一冊，頁273-280
1.林莉娜，〈宋高宗畫女孝經馬和之補圖〉，收入王耀庭、許郭璜、陳階晉編，《故宮書畫菁華特輯》（臺北：國立故宮博物院，1987年初版，2001年再版），頁104-109。 2.馬孟晶，〈宋人女孝經圖（舊傳馬和之畫高宗書）〉，收入劉芳如、張華芝主編，《群芳譜 — 女性的形象與才藝》（臺北：國立故宮博物院，2003年初版一刷），頁104-105。 3.劉芳如，〈宋高宗書女孝經馬和之補圖〉，收入國立故宮博物院編輯委員會編，《仕女畫之美》（臺北：國立故宮博物院，1988年四月初版），頁77。 4.譚怡令 ，〈百善孝為先：宋高宗書女孝經馬和之補圖〉，《故宮文物月刊》，第2期（1983年5月），頁79-83。 5.林莉娜，〈高宗書女孝經馬和之補圖〉，《故宮文物月刊》，第163期（1996年10月），頁60-61。 6.童文娥，〈《女孝經圖》圖文位置的重建〉，《故宮文物月刊》，第265期（2005年4月），頁20-41。
劉芳如，〈宋高宗書女孝經馬和之補圖上卷　卷〉，收入《國寶的形成-書畫菁華特展》（臺北：國立故宮博物院，2017.10），頁100-109、308-309。
國立故宮博物院編輯委員會，〈宋高宗書女孝經馬和之補圖上卷　卷〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁104-109。",
書女孝經(補圖上卷 開宗明義章第一),"https://digitalarchive.npm.gov.tw/Painting/Content?pid=17480&Dept=P

",17480,"Zhaozong emperor 宋高宗 (趙構)
Ma Hezhi 馬和之",(none),(none),"乾隆御覽之寶
嘉慶御覽之寶","National Palace Museum, Taibei 台北故宮",故畫00110000001,"石渠寶笈初編（御書房），下冊，頁1077
故宮書畫錄（卷四），第二冊，頁288
故宮書畫圖錄，第二十一冊，頁273-280
國立故宮博物院編輯委員會，〈宋高宗書女孝經馬和之補圖上卷　卷　開宗明義章第一〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁104-109。",
書女孝經(補圖上卷 后妃章第二),"https://digitalarchive.npm.gov.tw/Painting/Content?pid=17479&Dept=P
",17479,"Zhaozong emperor 宋高宗 (趙構)
Ma Hezhi 馬和之",(none),(none),"五福五代堂古稀天子寶
宣統御覽之寶","National Palace Museum, Taibei 台北故宮",故畫00110000002,"石渠寶笈初編（御書房），下冊，頁1077
故宮書畫錄（卷四），第二冊，頁288-289
故宮書畫圖錄，第二十一冊，頁273-280
國立故宮博物院編輯委員會，〈宋高宗書女孝經馬和之補圖上卷　卷　后妃章第二〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁104-109。",
書女孝經(補圖上卷 夫人章第三),"https://digitalarchive.npm.gov.tw/Painting/Content?pid=17481&Dept=P",17481,"Zhaozong emperor 宋高宗 (趙構)
Ma Hezhi 馬和之",(none),(none),"八徵耄念之寶
明安國玩","National Palace Museum, Taibei 台北故宮",故畫00110000003,"石渠寶笈初編（御書房），下冊，頁1077
故宮書畫錄（卷四），第二冊，頁288-289
故宮書畫圖錄，第二十一冊，頁273-280
國立故宮博物院編輯委員會，〈宋高宗書女孝經馬和之補圖上卷　卷　夫人章第三〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁104-109。",
書女孝經(補圖上卷 邦君章第四),"https://digitalarchive.npm.gov.tw/Painting/Content?pid=17482&Dept=P",17482,"Zhaozong emperor 宋高宗 (趙構)
Ma Hezhi 馬和之",(none),(none),太上皇帝之寶,"National Palace Museum, Taibei 台北故宮",故畫00110000004,"石渠寶笈初編（御書房），下冊，頁1077
故宮書畫錄（卷四），第二冊，頁288-289
故宮書畫圖錄，第二十一冊，頁273-280
國立故宮博物院編輯委員會，〈宋高宗書女孝經馬和之補圖上卷　卷　邦君章第四〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁104-109。",
書女孝經(補圖上卷 庶人章第五),"https://digitalarchive.npm.gov.tw/Painting/Content?pid=17483&Dept=P",17483,"Zhaozong emperor 宋高宗 (趙構)
Ma Hezhi 馬和之",(none),(none),學詩堂,"National Palace Museum, Taibei 台北故宮",故畫00110000005,"石渠寶笈初編（御書房），下冊，頁1077
故宮書畫錄（卷四），第二冊，頁288-289
故宮書畫圖錄，第二十一冊，頁273-280
國立故宮博物院編輯委員會，〈宋高宗書女孝經馬和之補圖上卷　卷　庶人章第五〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁104-109。",
書女孝經(補圖上卷 事舅姑章第六),"https://digitalarchive.npm.gov.tw/Painting/Content?pid=17484&Dept=P",17484,"Zhaozong emperor 宋高宗 (趙構)
Ma Hezhi 馬和之",(none),(none),"信天主人
明安國玩","National Palace Museum, Taibei 台北故宮",故畫00110000006,"石渠寶笈初編（御書房），下冊，頁1077
故宮書畫錄（卷四），第二冊，頁288-289
故宮書畫圖錄，第二十一冊，頁273-280
國立故宮博物院編輯委員會，〈宋高宗書女孝經馬和之補圖上卷　卷　事舅姑章第六〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁104-109。",
書女孝經(補圖上卷 三才章第七),"https://digitalarchive.npm.gov.tw/Painting/Content?pid=17485&Dept=P",17485,"Zhaozong emperor 宋高宗 (趙構)
Ma Hezhi 馬和之",(none),(none),"而貺十全之寶
明安國玩","National Palace Museum, Taibei 台北故宮",故畫00110000007,"石渠寶笈初編（御書房），下冊，頁1077
故宮書畫錄（卷四），第二冊，頁288-289
故宮書畫圖錄，第二十一冊，頁273-280
國立故宮博物院編輯委員會，〈宋高宗書女孝經馬和之補圖上卷　卷　三才章第七〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁104-109。",
書女孝經(補圖上卷 孝治章第八),"https://digitalarchive.npm.gov.tw/Painting/Content?pid=17486&Dept=P",17486,"Zhaozong emperor 宋高宗 (趙構)
Ma Hezhi 馬和之",(none),(none),典學勤政,"National Palace Museum, Taibei 台北故宮",故畫00110000008,"石渠寶笈初編（御書房），下冊，頁1077
故宮書畫錄（卷四），第二冊，頁288-289
故宮書畫圖錄，第二十一冊，頁273-280
國立故宮博物院編輯委員會，〈宋高宗書女孝經馬和之補圖上卷　卷　孝治章第八〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁104-109。",
